Placestoppedstreet,Placestoppedtown,EstimatedAge,Monthyear,GRIDREFERENCE,GRIDREF1,GRIDREF2
,,33,Apr-19,248485; 055678,248485,55678
MUTLEY PLAIN,Plymouth,19,Jul-19,,,
,,28,Jul-19,254048; 056588,254048,56588
Bath Street,Plymouth,18,Jul-19,,,
Adelaide Street,Plymouth,27,Jul-19,,,
Mayflower Street,Plymouth,51,Jul-19,,,
Adelaide Street,Plymouth,33,Aug-19,,,
Flora COURT,Plymouth,34,Aug-19,,,
Trelawney AVENUE,Plymouth,41,Sep-19,,,
,,15,Apr-19,250602; 058489,250602,58489
Hampton Street,Plymouth,27,May-19,,,
Devonport Hill,Plymouth,15,Jun-19,,,
,,46,Jul-19,247530; 059405,247530,59405
,,21,Aug-19,254062; 056578,254062,56578
North Hill,Plymouth,39,Apr-19,,,
Clarence Place,Plymouth,31,May-19,,,
Western Approach,Plymouth,18,Aug-19,,,
Hampton St,Plymouth,45,Apr-19,,,
Ebrington Street,Plymouth,20,Jun-19,,,
,,31,Apr-19,245362; 054780,245362,54780
,,25,Sep-19,248474; 059122,248474,59122
A386,Tavistock,34,Sep-19,,,
,,40,Jun-19,055793; 248402,55793,248402
,,15,Jul-19,245243; 059924,245243,59924
,,39,Apr-19,247603; 057257,247603,57257
,,27,Apr-19,247589; 057348,247589,57348
,,27,Apr-19,247595; 057311,247595,57311
Devonport Hill,Plymouth,16,Jun-19,,,
,,18,Jul-19,246947; 055001,246947,55001
,,45,Aug-19,275490; 069987,275490,69987
,,58,Jul-19,059564; 249929,59564,249929
Princess Street,Plymouth,19,Jun-19,,,
Western Approach,Plymouth,36,Jul-19,,,
Greenbank Road,Plymouth,36,Mar-19,,,
Mount Gould Road,Plymouth,41,Mar-19,,,
,,21,Apr-19,248175; 054711,248175,54711
Hastings Street,Plymouth,38,Apr-19,,,
Mayflower Street,Plymouth,33,Jun-19,,,
Courtney Street,Plymouth,44,Jun-19,,,
,,25,Jun-19,246137; 054474,246137,54474
,,21,May-19,250170; 119375,250170,119375
,,40,May-19,248499; 057819,248499,57819
,,47,Apr-19,248607; 058896,248607,58896
,,17,Mar-19,251536; 066908,251536,66908
,,18,Mar-19,251526; 066944,251526,66944
,,31,May-19,245851; 058156,245851,58156
,,39,May-19,249005; 060488,249005,60488
,,31,Aug-19,254042; 056558,254042,56558
,,26,Aug-19,254084; 056546,254084,56546
Friars Lane,Plymouth,53,Aug-19,,,
,,27,Jul-19,248065; 054650,248065,54650
Lambhay Hill,Plymouth,55,Aug-19,,,
,,27,Jul-19,000000; 000000,0,0
,,29,Sep-19,000000; 000000,0,0
,,26,Sep-19,296102; 101880,296102,101880
,,55,Jun-19,245637; 054956,245637,54956
St Leo Place  Stoke,Plymouth,46,Aug-19,,,
South Hill  Stoke,Plymouth,50,Aug-19,,,
,,25,Mar-19,248186; 054673,248186,54673
,,25,Apr-19,248168; 054674,248168,54674
White Friars Lane,Plymouth,37,May-19,,,
,,20,Jun-19,249559; 054419,249559,54419
North Road West,Plymouth,25,Jun-19,,,
,,50,Aug-19,248180; 054688,248180,54688
Cromartie Road,Plymouth,25,Aug-19,,,
Kneele Gardens,Plymouth,36,Sep-19,,,
Kneele Gardens,Plymouth,21,Sep-19,,,
Ponsaby Road,Plymouth,42,Jun-19,,,
,,19,Apr-19,254032; 056582,254032,56582
Mutley Plain,Plymouth,48,Mar-19,,,
,,13,Mar-19,247750; 054057,247750,54057
,,26,May-19,248058; 059647,248058,59647
,,21,May-19,250690; 053893,250690,53893
,,29,Aug-19,248327; 055383,248327,55383
,,30,Mar-19,248557; 058887,248557,58887
Granby Way,Plymouth,34,Mar-19,,,
,,16,Jul-19,245350; 059944,245350,59944
Riverside Walk,Plymouth,30,Aug-19,,,
,,15,Mar-19,247932; 054796,247932,54796
,,20,Sep-19,248242; 054656,248242,54656
,,22,Apr-19,000000; 000000,0,0
,,37,Jul-19,061660; 250389,61660,250389
,,29,Jul-19,248461; 058941,248461,58941
Whitehaven Way,Plymouth,39,Aug-19,,,
Cecil Street,Plymouth,31,Apr-19,,,
St Mary's Sreet,Plymouth,34,Apr-19,,,
Armada Way,Plymouth,33,Apr-19,,,
,,41,May-19,247032; 054993,247032,54993
Whitleigh Green,Plymouth,35,May-19,,,
,,15,Jul-19,248460; 057147,248460,57147
Francis Street,Plymouth,33,Jul-19,,,
Seagrave Road,Plymouth,39,Aug-19,,,
Quay Road,Plymouth,29,Aug-19,,,
,,20,Aug-19,247550; 054606,247550,54606
North Road West,Plymouth,31,Aug-19,,,
Ebrington Street,Plymouth,22,Sep-19,,,
Ebrington Street,Plymouth,17,Sep-19,,,
,,27,Sep-19,246523; 054492,246523,54492
,,18,Sep-19,248152; 054677,248152,54677
,,25,Apr-19,248193; 054721,248193,54721
Derriford Road,Plymouth,46,May-19,,,
,,14,Jun-19,248169; 054612,248169,54612
,,17,Jun-19,248158; 054703,248158,54703
,,25,May-19,000000; 000000,0,0
,,47,Jun-19,248506; 058893,248506,58893
,,32,Mar-19,248203; 054682,248203,54682
,,37,Apr-19,247716; 054746,247716,54746
,,16,Apr-19,248194; 054673,248194,54673
,,36,Jul-19,248225; 054717,248225,54717
Bath Street,Plymouth,66,Jul-19,,,
,,18,Jul-19,252249; 052946,252249,52946
,,18,Jul-19,247638; 054810,247638,54810
Courtenay Street,Plymouth,40,Jul-19,,,
,,56,Jul-19,247177; 054313,247177,54313
,,14,Sep-19,248012; 054760,248012,54760
Sherwell,Plymouth,50,Apr-19,,,
Norwich Avenue,Plymouth,26,Aug-19,,,
The Parade,Plymouth,32,Jun-19,,,
,,38,Jul-19,247205; 054521,247205,54521
,,23,Sep-19,248188; 054684,248188,54684
St Marys Street,Plymouth,18,Sep-19,,,
,,36,May-19,247360; 054415,247360,54415
,,27,May-19,249285; 054477,249285,54477
,,38,Sep-19,249452; 054409,249452,54409
Armada Way,Plymouth,35,Apr-19,,,
Armada Way,Plymouth,25,Apr-19,,,
,,39,Apr-19,248181; 054686,248181,54686
Bowers Road,Plymouth,32,Aug-19,,,
,,23,Sep-19,248188; 054678,248188,54678
,,31,Jun-19,248171; 054687,248171,54687
Western Approach,Plymouth,33,Apr-19,,,
,,39,Jul-19,248107; 054737,248107,54737
,,37,Mar-19,248584; 055478,248584,55478
,,50,Mar-19,247202; 054408,247202,54408
,,18,Apr-19,248347; 057704,248347,57704
,,45,Apr-19,247280; 055024,247280,55024
New George St,Plymouth,36,Jun-19,,,
,,35,Jun-19,249584; 054416,249584,54416
,,25,Aug-19,249269; 054480,249269,54480
,,20,Aug-19,249289; 054469,249289,54469
Raleigh Street,Plymouth,25,Sep-19,,,
Western Approach,Plymouth,43,Sep-19,,,
,,16,Apr-19,248997; 056948,248997,56948
,,26,Apr-19,246951; 060861,246951,60861
